org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
Other (please specify):,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,Yes,"Updating Company Information,Viewing Payment Status,Updating Remittance Details,Supplier Registration",None of the above,PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,Other (Please specify):,5 – Extremely Clear,No
Non-Profit Organization,Other:,Yes,None of the above,None of the above,Procurement (pohelp@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,None of the Above,"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections",Other (please specify):,Payee Onboarding Guide,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Other (please specify):,Sales,Yes,"N/A, I've never heard of PaymentWorks","Finding guidance on PaymentWorks actions,Supplier Registration,Contacting PaymentWorks",Procurement (pohelp@ucsd.edu),,,,,,,,,
Non-Profit Organization,Sales,Yes,"Contacting PaymentWorks,Updating Remittance Details,Updating Company Information",None of the above,PaymentWorks' Payee Knowledge Base,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,Other (Please specify):,5 – Extremely Clear,No
Small Business (per SBA standards),Other:,Yes,"Viewing Payment Status,Finding guidance on PaymentWorks actions",Contacting PaymentWorks,"Procurement (pohelp@ucsd.edu),Accounts Payable (payables@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,"Contacting PaymentWorks,Updating Company Information","Viewing Payment Status,Contacting PaymentWorks",Procurement (pohelp@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,5 – Extremely Clear,No
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,Other (Please specify):,4 – Somewhat Clear,Yes
Other (please specify):,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Finding guidance on Transcepta actions.,None of the Above,Other (please specify):,Payee Onboarding Guide,Other (Please specify):,1 – Extremely Unclear,No
Small Business (per SBA standards),Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,,,,,,,,,
Large Business,Accounts receivable,Yes,None of the above,"Finding guidance on PaymentWorks actions,Supplier Registration,Viewing Payment Status",PaymentWorks' Payee Knowledge Base,Yes,Transcepta - Electronic Data Interchange (EDI),"N/A, I've never heard of Transcepta",Viewing invoice submission status.,I am unsure who to contact,I am not aware of any of these resources,Other (Please specify):,2 – Somewhat Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Web Portal (PO flip and manual creation),Viewing invoice submission status.,Finding guidance on Transcepta actions.,"Procurement (pohelp@ucsd.edu),I am unsure who to contact",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Small Business (per SBA standards),Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Viewing invoice submission status.,"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","Other (please specify):,The person ordering the goods or services",Payee Newsletter,I have not experienced any difficulties,3 – Neutral,No
Small Business (per SBA standards),Administrative support,,,,,,,,,,,,,
Sole Proprietor / Individual,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,I have never utilized these resources or support,3 – Neutral,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Other:,"Registering for Transcepta,Receiving notifications about invoice errors/rejections","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Other (please specify):,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Electronic Data Interchange (EDI),"N/A, I've never heard of Transcepta",Viewing invoice submission status.,Transcepta Support,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,Yes
Other (please specify):,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,Other (Please specify):,4 – Somewhat Clear,Yes
Small Business (per SBA standards),Accounts receivable,Yes,"Updating Remittance Details,Viewing Payment Status,Contacting PaymentWorks,Updating Company Information",Supplier Registration,"PaymentWorks' Payee Knowledge Base,Accounts Payable (payables@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,I have never utilized these resources or support,2 – Somewhat Unclear,No
Sole Proprietor / Individual,Administrative support,Yes,None of the above,None of the above,"The person ordering the goods or services,PaymentWorks Support",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
Other (please specify):,Sales,,,,,,,,,,,,,
Non-Profit Organization,Accounts receivable,Yes,"N/A, I've never heard of PaymentWorks",Updating Remittance Details,"PaymentWorks Support,PaymentWorks' Payee Knowledge Base",,,,,,,,,
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Electronic Data Interchange (EDI),"Finding guidance on Transcepta actions.,Viewing invoice submission status.,Registering for Transcepta,Receiving notifications about invoice errors/rejections",None of the Above,"I am unsure who to contact,Other (please specify):",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,4 – Somewhat Clear,No
Sole Proprietor / Individual,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",None of the Above,"I am unsure who to contact,Procurement (pohelp@ucsd.edu)",Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,Yes,"Updating Remittance Details,Supplier Registration,Contacting PaymentWorks","Supplier Registration,Viewing Payment Status,Finding guidance on PaymentWorks actions","Accounts Payable (payables@ucsd.edu),Procurement (pohelp@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,4 – Somewhat Clear,No
Other (please specify):,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Small Business (per SBA standards),Accounts receivable,,,,,,,,,,,,,
Sole Proprietor / Individual,Executive-level leadership,,,,,,,,,,,,,
Small Business (per SBA standards),Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,No
Small Business (per SBA standards),Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,Yes
Large Business,Other:,Yes,None of the above,None of the above,Procurement (pohelp@ucsd.edu),Yes,Other:,"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.","Viewing invoice submission status.,Registering for Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,No
